index,name,default
0,Beats Per Minute,0.3571428656578064
1,Chorus Filter Cutoff,0.40625
2,Chorus Delay 1,0.22956103086471558
3,Chorus Delay 2,0.6886830925941467
4,Chorus Mix,0.5
5,Chorus Feedback,0.7105263471603394
6,Chorus Frequency,0.3333333432674408
7,Chorus Mod Depth,0.5
8,Chorus Switch,0.0
9,Chorus Sync,0.3333333432674408
10,Chorus Tempo,0.4000000059604645
11,Compressor Attack,0.5
12,Compressor Band Gain,0.6949999928474426
13,Band Lower Ratio,0.8999999761581421
14,Band Lower Threshold,0.550000011920929
15,Band Upper Ratio,0.8569999933242798
16,Band Upper Threshold,0.6875
17,Compressor Enabled Bands,0.0
18,Compressor High Gain,0.7716666460037231
19,High Lower Ratio,0.8999999761581421
20,High Lower Threshold,0.5625
21,High Upper Ratio,1.0
22,High Upper Threshold,0.625
23,Compressor Low Gain,0.7716666460037231
24,Low Lower Ratio,0.8999999761581421
25,Low Lower Threshold,0.5625
26,Low Upper Ratio,0.8999999761581421
27,Low Upper Threshold,0.6499999761581421
28,Compressor Switch,0.0
29,Compressor Release,0.5
30,Delay Mix,0.33340001106262207
31,Delay Feedback,0.75
32,Delay Filter Cutoff,0.40625
33,Delay Filter Spread,1.0
34,Delay Frequency,0.3636363744735718
35,Delay Switch,0.0
36,Delay Style,0.0
37,Delay Sync,0.3333333432674408
38,Delay Tempo,0.625
39,Distortion Drive,0.5
40,Distortion Filter Blend,0.0
41,Distortion Filter Cutoff,0.5625
42,Distortion Filter Order,0.0
43,Distortion Filter Resonance,0.5
44,Distortion Mix,1.0
45,Distortion Switch,0.0
46,Distortion Type,0.0
47,Effect Chain Order,0.0
48,Envelope 1 Attack,0.06285685300827026
49,Envelope 1 Attack Power,0.5
50,Envelope 1 Decay,0.4204471707344055
51,Envelope 1 Decay Power,0.44999998807907104
52,Envelope 1 Release,0.23023685812950134
53,Envelope 1 Release Power,0.44999998807907104
54,Envelope 1 Sustain,1.0
55,Envelope 2 Attack,0.06285685300827026
56,Envelope 2 Attack Power,0.5
57,Envelope 2 Decay,0.4204471707344055
58,Envelope 2 Decay Power,0.44999998807907104
59,Envelope 2 Release,0.23023685812950134
60,Envelope 2 Release Power,0.44999998807907104
61,Envelope 2 Sustain,1.0
